HP,27,78,17,89,68,5,66,12,64,83,58,23,40,1,21,50,42,45,48,51,53,62,70,32,93,13,8,28,18,19,22,54,29,10,26,88,95,30,61,81,47,80,38,87,14,9,59,43,69,33,67,75,31,86,77,65,3,49,25,6,79,16,82,34,7,4,24,73,46,44,15,11,74,72,52,35,85,2,91,94,55,41,84,0,20,71,92,56,57,60,36,76,37,90,39,63
model.optimizer_lr,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.001
data.batch_size,16,64,256,256,256,256,16,64,256,64,64,256,256,16,16,256,64,256,256,256,256,64,64,16,256,64,16,64,64,64,64,16,16,64,256,256,64,16,256,256,64,16,64,64,16,64,64,64,256,16,64,256,64,16,256,256,16,16,64,64,16,256,256,64,256,16,256,16,16,16,256,16,16,64,16,64,256,16,64,16,16,64,64,16,16,16,64,16,256,256,256,256,16,16,64,256
model.weight_decay,0,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0.01,0.01,0,0.01,0,0.01,0,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0
model.model_type,convM,bidirectional,bidirectional,bidirectional,unidirectional,transformer,convM,convM,unidirectional,convM,transformer,bidirectional,unidirectional,unidirectional,convM,bidirectional,unidirectional,convM,convM,unidirectional,unidirectional,transformer,convM,transformer,unidirectional,transformer,bidirectional,convM,unidirectional,unidirectional,bidirectional,bidirectional,unidirectional,convM,transformer,transformer,convM,transformer,convM,transformer,bidirectional,transformer,bidirectional,transformer,unidirectional,unidirectional,unidirectional,bidirectional,convM,transformer,unidirectional,convM,bidirectional,unidirectional,bidirectional,transformer,convM,unidirectional,transformer,transformer,bidirectional,convM,unidirectional,transformer,bidirectional,transformer,transformer,convM,convM,convM,convM,unidirectional,convM,unidirectional,transformer,convM,transformer,transformer,convM,unidirectional,transformer,bidirectional,transformer,bidirectional,bidirectional,bidirectional,unidirectional,bidirectional,transformer,bidirectional,unidirectional,convM,unidirectional,bidirectional,bidirectional,bidirectional
model.corr_regularization,True,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3
max_lags,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
n_vars,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
model,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml,big.yaml
Val_Auroc,0.5004221,0.50000536,0.4982165,0.49628085,0.501544,0.49788055,0.49901855,0.5018436,0.49992934,0.4983775,0.49936584,0.49617517,0.50030917,0.5015558,0.49962315,0.49712026,0.5033015,0.49879164,0.5003563,0.5004112,0.5009817,0.49517012,0.4976283,0.49795002,0.50268734,0.49935046,0.49716324,0.50124925,0.50202274,0.50380725,0.49716598,0.49705034,0.50019956,0.5015625,0.4999652,0.49813777,0.49853706,0.49530816,0.50018215,0.50115776,0.49941164,0.49806204,0.49794757,0.5009675,0.50054765,0.5010611,0.49954942,0.49797028,0.4990156,0.50320816,0.5022992,0.4995022,0.49677867,0.4985971,0.49846473,0.49780986,0.50064313,0.4975032,0.49740547,0.49837855,0.49942595,0.49832332,0.501058,0.50211364,0.49832624,0.49734512,0.4977847,0.49897534,0.5005737,0.49900472,0.4990973,0.50118077,0.5023164,0.50127906,0.4981991,0.50024855,0.5016291,0.49902323,0.5001303,0.5032053,0.49980277,0.50255644,0.49720842,0.50104415,0.49697864,0.49911246,0.5002628,0.49785814,0.49930146,0.49527273,0.50021833,0.49964258,0.5016021,0.50139236,0.49667352,0.49763897
Val_MSE,0.084347874,0.08384734,0.08330906,0.083630994,0.08340855,0.08298362,0.08328233,0.08489794,0.08331952,0.08318148,0.08352542,0.08519675,0.0833675,0.09716129,0.08385412,0.085484006,0.08943418,0.08936271,0.08401457,0.08648794,0.08303138,0.08412166,0.08372157,0.08370437,0.08349619,0.08403275,0.08325399,0.08344943,0.0830207,0.083991565,0.083629236,0.083316505,0.083265826,0.0832976,0.08358618,0.08349263,0.08338244,0.08375796,0.08959356,0.08358014,0.08387693,0.08365374,0.0834036,0.08360451,0.08308529,0.08295754,0.08319824,0.08357315,0.085255705,0.08729656,0.084114134,0.08318432,0.08377441,0.08354341,0.08350336,0.08297849,0.08324396,0.08268695,0.08294386,0.08342791,0.083891824,0.08341626,0.083784655,0.0836869,0.083268344,0.08362591,0.08353897,0.083274655,0.08444656,0.08326956,0.08526806,0.08351705,0.0849138,0.08333298,0.08412115,0.08487145,0.08328396,0.08413857,0.08289192,0.08446386,0.08459838,0.08356542,0.08311411,0.08384229,0.08316142,0.083548725,0.08318436,0.08345445,0.08329988,0.083851606,0.08323566,0.08329821,0.08328757,0.08379823,0.08353044,0.08361357
