HP,27,78,17,89,68,5,66,12,64,83,58,23,107,113,40,1,21,50,48,51,53,62,70,32,93,13,8,28,18,19,54,29,10,114,101,88,95,30,61,106,80,38,14,9,59,43,69,33,99,112,67,31,115,118,77,65,119,49,25,6,117,79,82,34,7,4,24,73,44,109,105,15,11,74,72,110,52,35,2,108,116,94,55,41,84,0,20,92,56,57,60,36,76,37,90,100,102,63,104
model.optimizer_lr,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001
data.batch_size,16,64,256,64,16,256,256,64,16,16,64,256,16,256,64,16,64,256,16,64,16,64,256,64,256,16,16,256,64,256,16,16,256,256,16,16,16,64,256,64,256,256,64,256,256,16,16,16,64,16,16,64,16,256,16,16,16,64,64,16,256,64,256,256,64,256,64,16,16,64,64,16,64,64,256,16,16,256,16,64,64,256,256,256,16,64,256,256,16,64,16,256,16,64,64,16,256,16,64
model.weight_decay,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01
model.model_type,bidirectional,mlp,unidirectional,transformer,mlp,bidirectional,mlp,unidirectional,convM,unidirectional,unidirectional,unidirectional,bidirectional,convM,convM,convM,bidirectional,mlp,unidirectional,unidirectional,mlp,transformer,convM,bidirectional,mlp,convM,mlp,unidirectional,transformer,convM,bidirectional,bidirectional,bidirectional,convM,transformer,mlp,unidirectional,convM,unidirectional,mlp,mlp,bidirectional,bidirectional,bidirectional,unidirectional,unidirectional,unidirectional,transformer,bidirectional,transformer,bidirectional,mlp,bidirectional,unidirectional,unidirectional,transformer,convM,unidirectional,bidirectional,mlp,unidirectional,bidirectional,unidirectional,bidirectional,mlp,mlp,unidirectional,convM,mlp,bidirectional,unidirectional,bidirectional,bidirectional,mlp,bidirectional,bidirectional,convM,mlp,unidirectional,unidirectional,transformer,convM,bidirectional,mlp,transformer,mlp,bidirectional,convM,convM,unidirectional,mlp,convM,mlp,transformer,mlp,convM,mlp,unidirectional,mlp
model.corr_regularization,False,True,False,True,True,False,False,True,True,True,False,True,False,True,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,False,True,False,True,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3,scale_up_3
max_lags,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
n_vars,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
model,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml,lcm.yaml
Val_Auroc,0.49863207,0.49771512,0.49989995,0.5007585,0.498553,0.4988176,0.5004826,0.5017435,0.49913457,0.50027955,0.5021653,0.50181615,0.5018077,0.499102,0.501551,0.4981786,0.4977092,0.49943373,0.5020319,0.50158614,0.49756217,0.500455,0.50134575,0.49828595,0.49622947,0.49954867,0.49835256,0.49952513,0.49702555,0.49942657,0.49837115,0.5023304,0.49990335,0.49822354,0.50013924,0.5021356,0.5000279,0.49549374,0.49914724,0.50295883,0.49958134,0.5016261,0.5011204,0.50074697,0.49831676,0.50044155,0.5009571,0.50149727,0.4993524,0.50140077,0.4987632,0.50006723,0.4997409,0.49877238,0.50009465,0.5004686,0.49666706,0.5040978,0.49965584,0.49902675,0.5011261,0.5011281,0.4984271,0.49901927,0.5011457,0.4966347,0.50355685,0.5007398,0.49943754,0.50214577,0.4986762,0.50149524,0.50033414,0.49456525,0.49940747,0.49894303,0.5012838,0.4996809,0.5025053,0.503083,0.49921554,0.5003182,0.5016001,0.4980766,0.5038014,0.49586302,0.5028584,0.4983629,0.4986945,0.4997896,0.49926838,0.50213164,0.49831545,0.50194126,0.49633762,0.50132424,0.49864194,0.5003849,0.502264
