,model.weight_decay,model.optimizer_lr,data.batch_size,corr_input,model.model_type,model.corr_regularization,regression_head
0,0,0.0001,256,True,bidirectional,True,False
1,0,0.0001,256,True,unidirectional,True,False
2,0,0.0001,256,True,convM,False,False
3,0,0.0001,256,True,transformer,True,False
4,0,0.0001,256,True,transformer,False,False
5,0,0.0001,64,True,bidirectional,False,False
6,0,0.0001,64,True,convM,True,False
7,0,0.0001,64,True,convM,False,False
8,0,0.0001,64,True,transformer,True,False
9,0,0.0001,16,True,transformer,True,False
10,0,0.0001,16,True,transformer,False,False
11,0,0.001,256,True,bidirectional,True,False
12,0,0.001,256,True,transformer,True,False
13,0,0.001,256,True,transformer,False,False
14,0,0.001,64,True,bidirectional,True,False
15,0,0.001,64,True,convM,True,False
16,0,0.001,64,True,convM,False,False
17,0,0.001,64,True,transformer,True,False
18,0,0.001,16,True,transformer,True,False
19,0,0.001,16,True,transformer,False,False
20,0.01,0.0001,256,True,convM,False,False
21,0.01,0.0001,256,True,transformer,True,False
22,0.01,0.0001,256,True,transformer,False,False
23,0.01,0.0001,64,True,convM,True,False
24,0.01,0.0001,64,True,convM,False,False
25,0.01,0.0001,16,True,transformer,True,False
26,0.01,0.001,256,True,convM,True,False
27,0.01,0.001,256,True,convM,False,False
28,0.01,0.001,256,True,transformer,True,False
29,0.01,0.001,256,True,transformer,False,False
30,0.01,0.001,64,True,convM,False,False
31,0.01,0.001,64,True,transformer,False,False
32,0.01,0.001,16,True,convM,True,False
33,0.01,0.001,16,True,convM,False,False
34,0.01,0.001,16,True,transformer,False,False
