HP,27,78,17,5,66,12,83,58,23,113,40,1,21,50,42,51,53,97,62,70,93,13,8,28,18,96,54,29,114,26,101,88,30,61,106,81,47,80,87,14,9,111,43,69,33,112,67,98,75,31,115,118,86,77,65,119,49,25,117,79,16,82,34,7,4,46,44,109,15,11,74,110,52,35,2,108,91,116,94,41,84,0,20,71,92,56,57,60,36,37,90,39,100,102,63
model.optimizer_lr,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.0001,0.0001
data.batch_size,256,64,64,64,256,16,64,16,64,16,16,16,16,16,256,16,16,256,64,16,256,64,64,256,16,256,16,16,256,256,256,16,64,256,256,256,64,256,16,64,256,16,16,16,64,64,64,256,64,64,256,256,256,256,256,256,16,256,16,64,16,64,64,256,64,64,16,16,16,64,256,16,256,64,16,64,16,64,256,64,64,64,64,16,64,16,16,64,16,64,16,256,256,256,256
model.weight_decay,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0,0,0,0.01,0,0.01,0.01,0.01,0.01,0,0,0.01
model.model_type,unidirectional,transformer,unidirectional,bidirectional,convM,unidirectional,transformer,convM,bidirectional,bidirectional,bidirectional,unidirectional,bidirectional,bidirectional,unidirectional,convM,convM,transformer,transformer,bidirectional,convM,convM,transformer,convM,transformer,convM,unidirectional,bidirectional,bidirectional,bidirectional,transformer,transformer,unidirectional,bidirectional,convM,convM,bidirectional,unidirectional,transformer,bidirectional,transformer,convM,convM,bidirectional,unidirectional,convM,bidirectional,bidirectional,bidirectional,transformer,unidirectional,convM,transformer,bidirectional,unidirectional,bidirectional,unidirectional,transformer,transformer,convM,transformer,convM,unidirectional,unidirectional,transformer,convM,transformer,convM,unidirectional,bidirectional,unidirectional,transformer,transformer,convM,bidirectional,bidirectional,unidirectional,convM,transformer,unidirectional,transformer,unidirectional,unidirectional,transformer,convM,convM,unidirectional,transformer,unidirectional,unidirectional,convM,bidirectional,convM,unidirectional,bidirectional
model.corr_regularization,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,True,True,True,False,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml,slurm_exp2.yaml
data.ds_name,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint,joint
